variable,question,file
C2MPER16,"16/25

 
Please choose any number of the remaining 10 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)





Being aware of temporal scarcity

Realizing that your current experience or resources will not last forever, and that you should enjoy them while they are available. Rather than rushing through them as though they were available anytime","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER17,"17/25

 
Infusing the ordinary with special meaning 
Enriching day-to-day experiences with language, thoughts, and actions that promote positive associations. Rather than seeing experiences only in a functional way","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER18,"18/25

 
Self-congratulating 
Giving yourself credit for the causes of positive experiences; seeing your experiences with a positive view of your strengths, achievements, and self-worth. Rather than overlooking opportunities to honor yourself","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER19,"19/25

 
Expressing or acknowledging gratitude 
Considering how others have benefited from your actions, or how you have benefited from others’ actions. Rather than letting contributions pass by without noticing their positive impact","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER20,"20/25

 
Relative comparing 
Embracing your own experiences in comparison with what others seem to be experiencing, or with what you imagined an event would be like. Rather than absorbing your joys and letdowns without a reference point","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER21,"21/25

 
Please choose any number of the remaining 5 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)





Sharing the positive experience with others

Creating a ripple effect between you and others in response to positive experiences; telling others how much you value the moment, or recounting stories about past joys, or good fortune. Rather than experiencing life’s joys in solitude","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER22,"22/25

 
Purposeful dampening

Intentionally down-regulating your positive emotions to help maintain perceived control. Rather than letting emotions arise regardless of the circumstance","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER23,"23/25

 
Enriching the sensory environment

Encountering or cultivating pleasant sensory stimulation. Rather than continually experiencing the same level of stimulation","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER24,"24/25

 
Altering bodily engagement

Reviving or relaxing your body with dynamic movement or rest. Rather than giving energy only to your thoughts","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPER25,"25/25

 
Neurochemically heightening emotions

Using food, drink, behaviors, or mind-altering substances to enhance your emotional state. Rather than relying solely on your intention to feel better","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS01,Enthusiastic,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS02,Interested,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS03,Determined,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS04,Excited,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS05,Inspired,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS06,Alert,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS07,Active,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS08,Strong,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS09,Proud,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MPAS10,Attentive,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MCSAT,"Overall, HOW SATISFIED were you with the technologies’ ability to SUPPORT YOUR HAPPINESS through this episode?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MSOC1,"Were you interacting with any human beings (i.e., in person, online) during this episode?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MSOC2,"Was the social interaction in real-time (e.g., video chat), or was it asynchronous (i.e., it took time to reply) (e.g., social media comments)?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTENS.S1,"When I do this activity with these technologies, it makes me feel close to people who are important to me","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTENS.S2,"When I do this activity with these technologies, it makes me feel connected to other people","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTENS.S3,"When I do this activity with these technologies, it makes me feel that people care about me","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTENS.F1,"When I do this activity with these technologies, it makes me feel excluded or isolated","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTENS.F2,"When I do this activity with these technologies, it makes me feel lonely","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MTENS.F3,"When I do this activity with these technologies, it makes me feel like I don’t matter to other people","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ1,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ1_99_TEXT,How FREQUENTLY do you engage in this ACTIVITY using these technologies? - Other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ2,"Ideally, HOW OFTEN would you LIKE TO ENGAGE in this ACTIVITY using these technologies? - Selected Choice","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ2_99_TEXT,"Ideally, HOW OFTEN would you LIKE TO ENGAGE in this ACTIVITY using these technologies? - Other (please specify) - Text","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ3,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ3_1_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Time it takes for the activity (please explain) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ3_2_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Energy it takes for the activity (please explain) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ3_3_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Money it takes for the activity (please explain) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ3_4_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Interest level I have in the activity (please explain) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ3_5_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Personal values I have towards the activity (please explain) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFREQ3_99_TEXT,[Optional] What factors inform your desired frequency of engaging in this activity using these technologies? (select all that apply) - Other (please explain) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MINDO,Were you indoors or outdoors during the activity?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MNEC,"HOW NECESSARY were the TECHNOLOGIES to engage in the main part THIS ACTIVITY (i.e., you would NOT have done the activity without them)?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MBODY,I MOVED MY BODY A LOT during this ACTIVITY.,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MCONV,"Overall, HOW CONVENIENT was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MEFF,"Overall, HOW EASY was it to ENGAGE in this ACTIVITY using these technologies?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MFEEL,"[optional] In what ways did the technologies ENHANCE how you felt?



Example: “The music calmed me down”, or, “the video call felt almost like being in the same room”.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2MELSE,[optional] Is there ANYTHING ELSE you want to say about your experience?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ANAM,"What’s a SHORT NAME to describe the AFTERNOON episode? (e.g., ‘watching TV’).","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2AATT,"On a scale of 1-7, please select the number ‘3’ below (to confirm your attention to this question).","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ABEG_27,When did this episode BEGIN? Please try to remember the time as precisely as you can. - AM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ABEG_4,When did this episode BEGIN? Please try to remember the time as precisely as you can. - PM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2AEND_27,When did this episode END? Please try to remember the time as precisely as you can. - AM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2AEND_4,When did this episode END? Please try to remember the time as precisely as you can. - PM,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ADC,What were you doing? (please check all that apply) - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ADC_99_TEXT,What were you doing? (please check all that apply) - other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ADO,"Please DESCRIBE the general EXPERIENCE in terms of the MAIN thing you were doing during the AFTERNOON episode.



Example: I was doodling on my tablet and listening to a podcast.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ADM,"[optional] What OTHER THINGS were you doing or THINKING ABOUT?



Example: I was trying not to think about my upcoming exam.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ATC,What technologies did you use? (please check all that apply) - Selected Choice,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ATC_99_TEXT,What technologies did you use? (please check all that apply) - other (please specify) - Text,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ACO,"[Optional] -- How did the COMBINATION of multiple TECHNOLOGIES / apps contribute towards IMPROVING your EMOTIONAL STATE?



Example: Exploring a question using ChatGPT while mapping ideas on my digital whiteboard helped me to feel competent and creative.","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALE1,"To what degree did you approach this activity with the following intention, whether or not you actually achieved your aim?



Seeking to pursue excellence or a personal ideal?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALE2,Seeking to use the best in yourself?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALE3,"Seeking to develop a skill, learn, or gain insight into something?","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALE4,Seeking to do what you believe in?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALH1,Seeking enjoyment?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALH2,Seeking pleasure?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALH3,Seeking fun?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALH4,Seeking relaxation?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2ALH5,Seeking to take it easy?,"DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER1,"1/25
 

Bettering yourself
Committing to meaningful challenges or passions that accord with your deeply-held values. Rather than indulging yourself constantly, or serving others’ needs only","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER2,"2/25
Indulging
Allowing yourself to enjoy what you desire to do. Rather than resisting the urge to do so","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER3,"3/25
Being considerate and helping others
Sharing your resources and attention for the benefit of another person or group’s needs or preferences. Rather than acting solely for personal gain","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER4,"4/25
Engaging in a collective
Joining in, or contributing to the shared concerns of a group. Rather than feeling apart from a sense of communal purpose","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER5,"5/25
Practicing spirituality and religion
Engaging in structured or ritualistic thoughts and behaviors that anchor your view of life within a larger cosmology. Rather than having no practiced tradition through which to process your experiences","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER6,"6/25

 
Please choose any number of the remaining 20 Positive Emotion Regulation techniques that describe your activities during the episode. (select all that apply)

 
Creating a savoring atmosphere
Creating or rearranging the environment to physically, psychologically, and socially support the intended positive experience. Rather than sticking to the status quo","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER7,"7/25
Capturing
Actively collecting physical or mental mementos (e.g., photos and souvenirs) that will later prompt vivid recall, thereby making the future experience more positive. Rather than experiencing the positive experience in only one temporal orientation","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER8,"8/25
Delaying positive experiences or splitting them into smaller units
Temporarily withdrawing from a positive experience, or subdividing a pleasant experience into smaller units to prolong anticipation and enjoyment. Rather than sacrificing prolonged pleasure for instant gratification","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER9,"9/25

 
Blocking negative thoughts



Preventing the retrieval of negative thoughts and memories that may hinder positive experiences, or reconfiguring them to create a more positive view. Rather than letting them lurk unaddressed around your daily life","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
C2APER10,"10/25

 
Habitualizing positive practices



Enhancing your life by practicing positive actions regularly as part of your lifestyle. Rather than occasionally performing them","DRM_Day 5_Packet C2_Cornell_250204_July 4, 2025_00.32.csv"
